date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,Team1 Win
31-10-2019,2020,0,,ATL,MIA,1443.267893,1522.047359,0.530500885,0.469499115,1432.761929,1532.553323,1417.518299,1525.574229,0.490445535,0.509554465,1408.020922,1535.071606,1363.122177,1490.362573,0.462903997,0.537096003,97,106,loose
31-10-2019,2020,0,,NOP,DEN,1394.832059,1595.262718,0.359364065,0.640635935,1413.589469,1576.505308,1374.012616,1607.204419,0.315722833,0.684277167,1394.657325,1586.559709,1521.821483,1650.661245,0.456907251,0.543092749,122,107,win
31-10-2019,2020,0,,LAC,SAS,1538.914973,1562.402089,0.608364719,0.391635281,1544.622436,1556.694626,1546.160012,1575.049746,0.533183106,0.466816894,1553.248597,1567.961161,1580.42642,1495.628258,0.687265899,0.312734101,103,97,win
01-11-2019,2020,0,,IND,CLE,1492.907009,1362.824304,0.789923195,0.210076805,1495.892191,1359.839121,1490.615821,1304.772728,0.835307555,0.164692445,1492.876683,1302.511865,1450.654198,1364.385061,0.74087598,0.25912402,102,95,win
01-11-2019,2020,0,,ORL,MIL,1538.494969,1632.788991,0.508210824,0.491789176,1515.092909,1656.19105,1554.622155,1683.680273,0.458314339,0.541685661,1534.090938,1704.21149,1529.13999,1636.316933,0.489708347,0.510291653,91,123,loose
01-11-2019,2020,0,,BRK,HOU,1472.212437,1648.165075,0.392403938,0.607596062,1483.096927,1637.280585,1471.814514,1703.432159,0.311522313,0.688477687,1484.833292,1690.413381,1499.524337,1712.780785,0.334630319,0.665369681,123,116,win
01-11-2019,2020,0,,BOS,NYK,1595.597772,1310.910057,0.901538798,0.098461202,1596.325359,1310.18247,1626.626445,1254.645189,0.937722349,0.062277651,1627.063546,1254.208088,1554.970789,1280.185448,0.895887854,0.104112146,104,102,win
01-11-2019,2020,0,,CHI,DET,1345.939596,1460.07307,0.479671508,0.520328492,1354.078741,1451.933925,1303.143537,1456.17936,0.421913472,0.578086528,1312.493105,1446.829793,1461.059152,1388.952225,0.727326929,0.272673071,112,106,win
01-11-2019,2020,0,,DAL,LAL,1483.862604,1499.657471,0.618862687,0.381137313,1470.944585,1512.57549,1477.725113,1499.373186,0.61027511,0.38972489,1465.0548,1512.043499,1582.471043,1615.666802,0.594354173,0.405645827,110,119,loose
01-11-2019,2020,0,,SAC,UTA,1411.523029,1604.923226,0.368733314,0.631266686,1417.038168,1599.408087,1403.138408,1622.456064,0.32931619,0.67068381,1409.154816,1616.439657,1479.665898,1620.118029,0.436029267,0.563970733,102,101,win
01-11-2019,2020,0,,GSW,SAS,1568.091175,1556.694626,0.655035989,0.344964011,1547.024529,1577.761272,1606.609347,1567.961161,0.737523157,0.262476843,1581.381446,1593.189063,1414.559365,1495.335074,0.585568489,0.414431511,110,127,loose
02-11-2019,2020,0,,OKC,NOP,1535.812606,1413.589469,0.782316839,0.217683161,1539.882962,1409.519113,1555.557991,1394.657325,0.823385502,0.176614498,1558.762036,1391.45328,1528.088313,1524.887851,0.652865715,0.347134285,115,104,win
02-11-2019,2020,0,,DET,BRK,1451.933925,1483.096927,0.59778818,0.40221182,1456.755855,1478.274997,1446.829793,1484.833292,0.591795489,0.408204511,1451.739647,1479.923438,1411.891989,1501.649809,0.518359492,0.481640508,113,109,win
02-11-2019,2020,0,,ORL,DEN,1515.092909,1576.505308,0.55530481,0.44469519,1507.84527,1583.752948,1534.090938,1586.559709,0.496821049,0.503178951,1527.817865,1592.832782,1523.24798,1647.698103,0.394825263,0.605174737,87,91,loose
02-11-2019,2020,0,,MIL,TOR,1656.19105,1680.345068,0.607449671,0.392550329,1663.872367,1672.663751,1704.21149,1733.992757,0.525408697,0.474591303,1713.924339,1724.279908,1644.320258,1575.813026,0.660946838,0.339053162,115,105,win
02-11-2019,2020,0,,MEM,PHO,1425.942062,1396.611259,0.677976467,0.322023533,1411.220262,1411.33306,1421.45098,1351.579794,0.721525529,0.278474471,1405.262709,1367.768065,1455.853147,1510.402744,0.55868275,0.44131725,105,114,loose
